Position	CD15	CD4	NAKATPASE	ASMA	CD8	FOXP3	CD31	PDL1	CD27	CD3	CD56	CD206	GZB	HLAI	CASP3	CD163	CD16	CD45	CD20	LAG3	CD11C	S6	PANCK	HLAII	KI67	CD68	KAPPA	CD14	CD38	PD1	MPO	B2MG	TRYPTASE	LAMBDA	GP100	ANNEXINV	ISOTYPERB	ISOTYPEMU
region_061	Excellent	Good	Good	Fair	Fair	Fair	Good	Fair	Good	Fair	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Excellent	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good
region_062	Fair	Fair	Good	Fair	Good	Good	Good	Good	Good	Fair	Good	Fair	Good	Good	Good	Fair	Good	Good	Good	Good	Fair	Fair	Good	Fair	Good	Fair	Fair	Good	Good	Good	Poor	Good	Good	Good	Fair	Fair	Good	Good
region_063	Good	Fair	Fair	Good	Good	Good	Good	Good	Fair	Fair	Fair	Good	Fair	Good	Good	Fair	Fair	Good	Good	Good	Fair	Good	Good	Good	Fair	Good	Good	Fair	Good	Good	Fair	Good	Good	Poor	Fair	Fair	Good	Good
region_064	Good	Fair	Good	Fair	Good	Good	Good	Good	Good	Fair	Fair	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Fair	Good	Poor	Fair	Good	Good	Fair	Good	Good
region_065	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Fair	Good	Good	Fair	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Fair	Good	Good	Fair	Good	Good	Good
region_066	Fair	Poor	Fair	Fair	Fair	Fair	Good	Fair	Fair	Fair	Good	Good	Good	Fair	Good	Good	Good	Good	Fair	Good	Fair	Fair	Fair	Good	Good	Good	Fair	Fair	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Good
region_067	Poor	Fair	Fair	Fair	Fair	Fair	Poor	Good	Good	Good	Fair	Good	Good	Poor	Fair	Excellent	Fair	Fair	Good	Good	Good	Good	Poor	Good	Fair	Excellent	Good	Good	Good	Fair	Poor	Fair	Good	Good	Good	Fair	Fair	Good
region_068	Good	Fair	Good	Fair	Fair	Good	Fair	Fair	Fair	Fair	Poor	Fair	Good	Poor	Poor	Fair	Fair	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Fair	Fair	Fair	Good	Good	Poor	Fair	Fair	Fair	Good	Good	Good
region_069	Good	Poor	Fair	Fair	Poor	Good	Fair	Fair	Good	Good	Fair	Fair	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Fair	Good	Good	Good	Fair	Fair	Good	Good	Good	Good	Fair	Good
region_070	Good	Excellent	Good	Fair	Good	Poor	Fair	Fair	Good	Excellent	Fair	Good	Fair	Good	Good	Good	Good	Poor	Good	Fair	Fair	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Excellent	Good	Good	Good	Good	Good	Good
region_071	Good	Good	Fair	Good	Fair	Good	Good	Fair	Good	Fair	Fair	Good	Fair	Fair	Fair	Good	Good	Poor	Fair	Good	Good	Fair	Good	Good	Fair	Good	Fair	Good	Good	Good	Good	Good	Fair	Good	Fair	Fair	Fair	Good
region_072	Good	Good	Fair	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Fair	Good	Poor	Good	Good	Good	Poor	Good	Fair	Good	Fair	Fair	Good	Good	Good	Fair	Good	Good	Good	Fair	Good	Fair	Fair	Fair	Poor	Good
region_073	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Fair	Fair	Fair	Good	Good	Good	Fair	Good	Fair	Good	Good	Good	Good	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair
