Position	CD15	CD4	NAKATPASE	ASMA	CD8	FOXP3	CD31	PDL1	CD27	CD3	CD56	CD206	GZB	HLAI	CASP3	CD163	CD16	CD45	CD20	LAG3	CD11C	S6	PANCK	HLAII	KI67	CD68	KAPPA	CD14	CD38	PD1	MPO	B2MG	TRYPTASE	LAMBDA	GP100	ANNEXINV	ISOTYPERB	ISOTYPEMU
region_131	Good	Good	Fair	Good	Good	Good	Good	Fair	Fair	Good	Good	Fair	Good	Fair	Good	Fair	Fair	Good	Good	Good	Fair	Fair	Fair	Good	Fair	Fair	Good	Fair	Good	Good	Fair	Good	Good	Good	Good	Poor	Good	Good
region_132	Fair	Good	Good	Excellent	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Fair	Poor	Fair	Good
region_133	Fair	Fair	Good	Good	Fair	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Fair	Good	Excellent	Good	Good	Good	Good	Good	Fair	Good	Good	Good
region_134	Good	Fair	Good	Fair	Excellent	Good	Fair	Good	Poor	Good	Fair	Good	Good	Fair	Good	Good	Fair	Fair	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Fair	Good	Good	Fair	Good	Good	Fair
region_135	Good	Good	Good	Good	Good	Fair	Good	Poor	Good	Good	Poor	Fair	Good	Excellent	Good	Fair	Good	Good	Good	Good	Fair	Excellent	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good
region_136	Good	Good	Fair	Excellent	Good	Good	Good	Good	Fair	Good	Fair	Good	Good	Fair	Good	Good	Good	Good	Fair	Good	Fair	Good	Fair	Good	Fair	Good	Fair	Fair	Fair	Good	Good	Good	Poor	Good	Fair	Fair	Fair	Good
region_137	Good	Fair	Good	Fair	Good	Good	Fair	Poor	Good	Fair	Good	Good	Fair	Good	Good	Fair	Poor	Good	Fair	Good	Good	Fair	Good	Fair	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Good
region_138	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Fair	Fair	Fair	Good	Fair	Good	Fair	Fair	Good	Good	Fair	Good	Good	Good	Fair	Fair	Fair	Good	Good	Good	Good	Good	Fair	Good	Good	Fair	Good	Good	Good
region_139	Fair	Good	Good	Good	Poor	Good	Fair	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Fair	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Fair	Poor	Fair	Good	Good	Fair	Fair	Good
region_140	Poor	Poor	Fair	Excellent	Fair	Fair	Fair	Fair	Poor	Fair	Fair	Good	Good	Fair	Fair	Poor	Good	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor
region_141	Fair	Poor	Fair	Good	Good	Good	Fair	Good	Good	Good	Good	Fair	Good	Good	Poor	Fair	Fair	Good	Good	Good	Fair	Good	Good	Fair	Good	Good	Good	Fair	Good	Good	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair
region_142	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Poor	Fair	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Fair	Good	Good	Fair	Poor	Poor
region_143	Good	Good	Good	Fair	Good	Good	Good	Good	Fair	Fair	Fair	Excellent	Good	Fair	Good	Good	Good	Good	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor
region_144	Good	Fair	Good	Fair	Excellent	Good	Good	Fair	Fair	Fair	Fair	Fair	Good	Fair	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Fair	Fair	Good	Good	Good	Good	Fair	Good	Poor	Fair	Good	Good	Good
region_145	Good	Good	Fair	Fair	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Fair	Good	Good	Good	Good	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair
region_146	Good	Poor	Fair	Good	Good	Fair	Good	Fair	Fair	Fair	Good	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Fair
region_147	Fair	Fair	Good	Good	Good	Good	Fair	Good	Good	Good	Poor	Good	Fair	Fair	Fair	Good	Fair	Good	Fair	Good	Fair	Good	Good	Good	Good	Good	Fair	Fair	Good	Good	Good	Poor	Fair	Good	Good	Poor	Fair	Good
region_148	Good	Fair	Good	Fair	Fair	Good	Fair	Fair	Fair	Fair	Poor	Fair	Fair	Fair	Fair	Fair	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Fair	Good	Good	Good	Fair	Good	Good
region_149	Good	Poor	Fair	Good	Fair	Good	Good	Good	Poor	Good	Fair	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Good	Good	Good	Fair	Good	Fair	Good	Fair	Good	Fair	Good
region_150	Fair	Poor	Good	Fair	Fair	Good	Good	Fair	Good	Good	Good	Fair	Good	Good	Good	Fair	Fair	Good	Good	Good	Poor	Good	Good	Good	Good	Good	Good	Fair	Good	Fair	Good	Poor	Good	Good	Poor	Poor	Good	Good
region_151	Fair	Fair	Fair	Good	Good	Fair	Good	Good	Good	Fair	Good	Good	Good	Fair	Fair	Fair	Fair	Good	Good	Good	Fair	Good	Fair	Good	Good	Good	Good	Good	Fair	Good	Fair	Poor	Good	Good	Fair	Good	Good	Good
region_152	Good	Poor	Good	Excellent	Fair	Good	Fair	Good	Good	Fair	Excellent	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Poor	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Excellent	Good	Good	Fair	Good	Good	Fair
region_153	Good	Poor	Good	Good	Poor	Good	Fair	Good	Good	Fair	Poor	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Fair	Fair	Fair	Good	Fair	Good	Poor	Fair	Good	Good	Good	Good	Good
region_154	Good	Poor	Good	Good	Fair	Good	Fair	Good	Fair	Good	Fair	Fair	Good	Poor	Good	Fair	Fair	Good	Good	Good	Fair	Fair	Fair	Fair	Fair	Good	Good	Fair	Poor	Good	Fair	Fair	Good	Good	Fair	Fair	Fair	Good
region_155	Good	Fair	Good	Good	Good	Fair	Good	Fair	Good	Fair	Fair	Fair	Good	Fair	Poor	Good	Fair	Fair	Good	Good	Poor	Good	Fair	Fair	Fair	Excellent	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair
region_156	Good	Good	Good	Good	Good	Excellent	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Excellent	Fair	Good	Good	Good	Good	Good	Good	Good	Good
region_157	Good	Fair	Fair	Good	Fair	Poor	Good	Good	Good	Fair	Good	Good	Good	Fair	Fair	Excellent	Good	Good	Good	Fair	Good	Fair	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Fair	Fair	Good	Fair	Fair	Fair	Good
region_158	Fair	Excellent	Good	Excellent	Good	Good	Good	Good	Good	Good	Fair	Fair	Good	Good	Good	Good	Good	Poor	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Excellent	Good	Good	Fair	Good	Good	Good
region_159	Good	Fair	Good	Excellent	Good	Good	Fair	Fair	Fair	Good	Good	Fair	Good	Excellent	Good	Good	Good	Good	Good	Good	Fair	Excellent	Excellent	Good	Good	Good	Good	Good	Fair	Good	Good	Excellent	Good	Good	Good	Fair	Good	Good
region_160	Fair	Excellent	Excellent	Fair	Fair	Good	Poor	Good	Excellent	Good	Fair	Fair	Good	Excellent	Good	Fair	Fair	Good	Good	Good	Good	Good	Good	Excellent	Good	Good	Good	Good	Good	Fair	Good	Excellent	Good	Good	Good	Good	Good	Good
region_161	Fair	Fair	Good	Fair	Good	Fair	Good	Fair	Good	Fair	Fair	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Fair	Good	Poor	Good	Good	Poor	Fair	Good	Good	Good	Fair	Fair	Good	Good
region_162	Good	Good	Good	Fair	Good	Fair	Good	Poor	Good	Poor	Fair	Fair	Fair	Good	Good	Fair	Poor	Fair	Good	Poor	Fair	Good	Good	Good	Good	Fair	Fair	Fair	Good	Good	Good	Poor	Fair	Good	Fair	Good	Good	Good
region_163	Good	Good	Fair	Good	Poor	Good	Good	Good	Good	Good	Fair	Fair	Good	Fair	Good	Good	Fair	Good	Good	Good	Fair	Fair	Fair	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good
region_164	Good	Fair	Good	Fair	Fair	Poor	Good	Good	Good	Poor	Fair	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Fair	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Fair	Good	Good	Good
region_165	Fair	Good	Good	Good	Good	Good	Good	Good	Poor	Fair	Fair	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Fair	Good	Fair	Good
region_166	Good	Poor	Good	Good	Good	Fair	Good	Good	Good	Fair	Good	Fair	Good	Good	Good	Fair	Good	Fair	Fair	Good	Fair	Fair	Good	Good	Fair	Good	Fair	Fair	Good	Good	Good	Fair	Good	Good	Poor	Fair	Good	Good
region_167	Good	Good	Good	Good	Good	Good	Fair	Good	Fair	Good	Good	Fair	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Fair	Fair	Fair	Good	Poor	Fair	Good	Good
region_168	Good	Good	Good	Excellent	Fair	Good	Excellent	Fair	Good	Good	Fair	Fair	Good	Fair	Good	Fair	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Fair	Fair	Good	Poor	Poor	Good	Good
region_169	Fair	Fair	Good	Fair	Good	Fair	Fair	Good	Good	Fair	Fair	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Fair	Good	Good	Good	Fair	Fair	Good	Good	Good	Good	Good	Fair	Good	Good	Good
region_170	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Fair	Fair	Good	Good	Fair	Fair	Excellent	Good	Good	Good	Good	Good	Fair	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Good
region_171	Fair	Good	Good	Good	Excellent	Good	Fair	Good	Poor	Poor	Good	Fair	Fair	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Fair	Good	Excellent	Good	Good	Fair	Good	Good	Good	Fair	Good	Fair	Good	Good	Good
region_172	Fair	Excellent	Good	Good	Fair	Good	Good	Good	Excellent	Excellent	Fair	Good	Good	Good	Fair	Excellent	Good	Good	Good	Fair	Good	Good	Good	Good	Fair	Good	Fair	Good	Good	Good	Excellent	Excellent	Fair	Good	Good	Good	Good	Good
region_173	Fair	Fair	Good	Fair	Good	Good	Good	Good	Good	Fair	Fair	Fair	Fair	Fair	Poor	Fair	Good	Fair	Good	Good	Good	Good	Fair	Poor	Fair	Good	Good	Fair	Fair	Fair	Good	Poor	Good	Good	Good	Fair	Good	Good
region_174	Good	Fair	Good	Good	Fair	Good	Good	Good	Fair	Poor	Good	Fair	Good	Fair	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Excellent	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Good
region_175	Good	Fair	Excellent	Good	Fair	Good	Good	Fair	Good	Fair	Fair	Fair	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Excellent	Good	Good	Fair	Good	Good	Fair	Good	Fair	Good	Poor	Good	Good	Good	Good
region_176	Excellent	Poor	Fair	Fair	Good	Good	Good	Good	Poor	Good	Fair	Fair	Good	Fair	Fair	Fair	Good	Good	Good	Good	Fair	Fair	Fair	Fair	Good	Fair	Good	Fair	Good	Good	Fair	Good	Good	Good	Good	Fair	Good	Good
region_177	Good	Fair	Good	Good	Fair	Fair	Good	Good	Good	Poor	Poor	Good	Good	Poor	Good	Good	Excellent	Poor	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Poor	Good	Good	Good	Good	Good	Good
region_178	Good	Fair	Good	Fair	Good	Fair	Fair	Good	Fair	Fair	Good	Fair	Good	Fair	Good	Good	Good	Good	Fair	Good	Fair	Good	Good	Good	Good	Fair	Good	Fair	Good	Good	Good	Fair	Fair	Good	Fair	Fair	Good	Good
region_179	Good	Fair	Fair	Fair	Fair	Good	Good	Good	Good	Fair	Fair	Fair	Good	Fair	Good	Good	Excellent	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Excellent	Good	Good	Fair	Fair	Good	Good	Good	Excellent	Fair	Good
region_180	Good	Poor	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Fair	Poor	Good	Fair	Fair	Good	Good	Good	Fair	Good	Good	Fair	Fair	Fair	Good	Good	Fair	Good	Good	Fair	Fair	Good	Fair	Good	Good	Good
region_181	Good	Fair	Good	Fair	Fair	Good	Good	Fair	Good	Fair	Poor	Fair	Good	Poor	Poor	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Fair	Good	Good	Fair	Fair	Good	Good	Good	Fair	Good	Good
region_182	Fair	Poor	Fair	Good	Good	Fair	Fair	Good	Fair	Fair	Poor	Fair	Good	Fair	Poor	Fair	Good	Fair	Good	Good	Fair	Fair	Fair	Good	Fair	Good	Fair	Fair	Poor	Fair	Fair	Good	Good	Fair	Fair	Excellent	Fair	Good
region_183	Good	Good	Good	Fair	Good	Good	Good	Good	Fair	Good	Fair	Poor	Good	Fair	Fair	Fair	Fair	Good	Good	Fair	Good	Good	Fair	Good	Good	Good	Good	Poor	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good
region_184	Good	Poor	Good	Good	Good	Poor	Good	Good	Good	Poor	Poor	Poor	Good	Fair	Good	Fair	Good	Good	Good	Good	Fair	Fair	Good	Fair	Fair	Fair	Good	Fair	Good	Good	Good	Fair	Fair	Good	Fair	Good	Good	Good
region_185	Good	Fair	Fair	Fair	Good	Good	Good	Good	Good	Fair	Fair	Fair	Good	Fair	Good	Good	Fair	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Fair	Poor	Fair	Good	Fair	Poor	Good	Good	Good	Fair	Good	Good
region_186	Fair	Fair	Good	Good	Good	Good	Fair	Fair	Fair	Good	Good	Fair	Good	Fair	Fair	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Excellent	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good
region_187	Good	Good	Fair	Good	Good	Good	Excellent	Good	Fair	Good	Fair	Good	Good	Good	Poor	Excellent	Excellent	Good	Good	Fair	Good	Good	Fair	Good	Good	Good	Fair	Good	Good	Good	Good	Excellent	Fair	Good	Good	Good	Fair	Good
region_188	Good	Good	Good	Good	Fair	Good	Excellent	Good	Good	Fair	Good	Fair	Fair	Fair	Fair	Fair	Fair	Fair	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor
region_189	Good	Fair	Good	Good	Good	Fair	Good	Good	Good	Fair	Fair	Fair	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Fair	Good	Good	Good	Good	Poor	Good	Good	Fair	Poor	Fair	Good
region_190	Good	Good	Fair	Fair	Good	Good	Fair	Good	Fair	Good	Fair	Fair	Good	Fair	Good	Good	Good	Good	Good	Good	Fair	Fair	Fair	Good	Good	Fair	Good	Fair	Good	Good	Good	Fair	Good	Good	Fair	Good	Good	Good
region_191	Good	Good	Fair	Fair	Good	Good	Excellent	Good	Good	Fair	Fair	Fair	Good	Fair	Good	Good	Excellent	Good	Good	Good	Fair	Good	Good	Good	Fair	Good	Fair	Good	Good	Good	Fair	Poor	Fair	Good	Fair	Good	Fair	Good
region_192	Good	Fair	Good	Good	Good	Fair	Good	Fair	Fair	Poor	Good	Fair	Good	Poor	Good	Good	Good	Fair	Good	Good	Fair	Good	Good	Good	Fair	Fair	Fair	Fair	Fair	Fair	Good	Poor	Good	Good	Fair	Fair	Good	Fair
region_193	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Fair	Good	Fair	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Poor	Fair	Fair	Fair	Good	Good	Good
region_194	Poor	Good	Good	Fair	Excellent	Fair	Fair	Good	Good	Good	Fair	Poor	Poor	Good	Good	Fair	Good	Poor	Good	Good	Poor	Good	Good	Excellent	Good	Fair	Good	Fair	Good	Good	Fair	Excellent	Good	Fair	Good	Fair	Good	Good
region_195	Fair	Excellent	Good	Good	Fair	Good	Good	Fair	Good	Excellent	Fair	Fair	Good	Good	Good	Fair	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Fair	Fair	Good	Good	Good	Good	Good	Fair	Good	Fair	Good	Good	Good
region_196	Good	Good	Good	Fair	Fair	Fair	Good	Good	Fair	Fair	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Excellent	Good	Good	Good	Good	Good	Fair	Good	Fair	Good	Good	Good	Good	Good	Good
region_197	Good	Fair	Good	Fair	Poor	Good	Fair	Good	Fair	Fair	Fair	Fair	Good	Fair	Good	Fair	Good	Good	Good	Good	Fair	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good
region_198	Poor	Poor	Fair	Poor	Fair	Fair	Fair	Good	Poor	Fair	Fair	Good	Good	Fair	Good	Fair	Good	Good	Good	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor	Poor
region_199	Fair	Fair	Good	Fair	Fair	Fair	Good	Good	Fair	Fair	Fair	Fair	Good	Fair	Fair	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Fair	Good	Fair	Fair	Good	Good	Fair	Fair	Good	Good	Good	Good	Good	Good
region_200	Poor	Poor	Good	Fair	Fair	Good	Good	Good	Fair	Poor	Good	Fair	Good	Good	Good	Fair	Good	Good	Good	Good	Fair	Good	Good	Fair	Good	Good	Good	Fair	Good	Good	Good	Excellent	Fair	Good	Good	Good	Good	Good
region_201	Poor	Fair	Fair	Fair	Good	Good	Fair	Good	Good	Good	Fair	Fair	Fair	Fair	Good	Good	Good	Fair	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Fair	Good	Fair	Good	Poor	Good	Good	Fair	Good	Good	Good
region_202	Fair	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Excellent	Fair	Good	Excellent	Good	Good	Fair	Good	Fair	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Excellent	Good	Good	Fair	Good	Good	Good
region_203	Fair	Good	Good	Fair	Excellent	Good	Good	Fair	Good	Good	Fair	Poor	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Excellent	Fair	Good	Good	Good	Good	Good	Fair	Good	Fair	Good	Good	Good
region_204	Good	Excellent	Fair	Fair	Excellent	Good	Fair	Good	Good	Excellent	Fair	Good	Good	Good	Fair	Good	Excellent	Fair	Fair	Good	Good	Good	Fair	Good	Fair	Good	Good	Excellent	Good	Good	Good	Fair	Fair	Good	Good	Good	Fair	Good
region_205	Good	Excellent	Excellent	Good	Good	Good	Poor	Good	Good	Excellent	Fair	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Fair	Good	Good	Poor	Good	Fair	Good	Good	Good
region_206	Fair	Good	Fair	Good	Excellent	Good	Fair	Good	Good	Good	Fair	Fair	Good	Fair	Good	Good	Good	Good	Excellent	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Fair	Fair	Good	Good	Fair	Good	Good
region_207	Good	Fair	Good	Good	Good	Good	Fair	Good	Good	Good	Poor	Fair	Good	Good	Fair	Good	Good	Good	Good	Good	Fair	Good	Good	Fair	Excellent	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Fair	Good	Good	Good
region_208	Fair	Fair	Fair	Good	Good	Good	Good	Good	Good	Fair	Good	Fair	Good	Good	Good	Good	Fair	Good	Excellent	Fair	Fair	Good	Fair	Good	Good	Good	Good	Good	Good	Fair	Good	Fair	Fair	Good	Fair	Good	Good	Good
region_209	Good	Fair	Good	Fair	Good	Good	Fair	Good	Good	Fair	Good	Good	Good	Fair	Good	Fair	Good	Fair	Fair	Good	Fair	Good	Good	Good	Fair	Good	Good	Fair	Good	Good	Good	Poor	Good	Good	Fair	Good	Fair	Good
region_210	Good	Good	Fair	Fair	Fair	Fair	Good	Good	Good	Good	Fair	Good	Good	Fair	Fair	Good	Fair	Good	Good	Good	Fair	Fair	Good	Good	Fair	Good	Good	Good	Fair	Good	Fair	Poor	Good	Good	Fair	Fair	Good	Fair
region_211	Good	Good	Fair	Fair	Fair	Good	Fair	Fair	Fair	Fair	Good	Fair	Good	Fair	Good	Good	Good	Good	Good	Good	Fair	Fair	Good	Fair	Fair	Excellent	Good	Good	Good	Fair	Good	Fair	Good	Good	Good	Good	Fair	Good
region_212	Fair	Good	Fair	Poor	Fair	Good	Good	Good	Poor	Good	Good	Good	Fair	Fair	Good	Good	Good	Good	Good	Good	Fair	Fair	Fair	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Fair	Good	Good	Good	Good	Good
region_213	Fair	Fair	Good	Fair	Fair	Good	Good	Good	Fair	Good	Fair	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Fair	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Good
region_214	Excellent	Good	Good	Poor	Fair	Good	Good	Good	Fair	Good	Good	Fair	Good	Fair	Poor	Excellent	Excellent	Good	Fair	Good	Excellent	Good	Good	Good	Good	Excellent	Good	Excellent	Good	Good	Good	Fair	Fair	Good	Good	Good	Fair	Good
region_215	Good	Fair	Good	Fair	Good	Good	Good	Good	Poor	Fair	Good	Fair	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Fair	Good	Good	Fair	Good	Good	Fair	Poor	Fair	Fair
region_216	Good	Good	Good	Good	Fair	Fair	Good	Good	Good	Good	Fair	Fair	Good	Fair	Good	Good	Fair	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Fair	Good	Good	Fair	Good	Good	Good
region_217	Fair	Fair	Fair	Good	Fair	Good	Fair	Fair	Poor	Fair	Good	Good	Good	Fair	Poor	Good	Fair	Poor	Good	Fair	Fair	Good	Good	Good	Fair	Good	Fair	Fair	Good	Poor	Good	Poor	Good	Good	Fair	Fair	Fair	Fair
region_218	Excellent	Fair	Excellent	Fair	Fair	Fair	Fair	Good	Fair	Fair	Good	Fair	Fair	Fair	Good	Fair	Good	Good	Fair	Good	Fair	Good	Fair	Good	Fair	Fair	Good	Good	Good	Good	Good	Poor	Good	Good	Good	Good	Good	Good
region_219	Good	Poor	Good	Good	Fair	Good	Good	Good	Good	Fair	Fair	Good	Good	Poor	Good	Fair	Good	Good	Good	Good	Fair	Fair	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Good
region_220	Fair	Fair	Fair	Fair	Good	Good	Good	Good	Fair	Fair	Good	Good	Good	Fair	Good	Good	Fair	Good	Good	Good	Fair	Good	Fair	Good	Fair	Good	Fair	Fair	Fair	Good	Fair	Good	Good	Good	Fair	Good	Good	Good
region_221	Fair	Good	Good	Fair	Good	Good	Fair	Good	Good	Good	Excellent	Fair	Good	Good	Good	Good	Fair	Good	Excellent	Good	Good	Good	Good	Good	Good	Excellent	Good	Good	Excellent	Good	Good	Good	Good	Excellent	Good	Fair	Good	Good
region_222	Fair	Good	Fair	Good	Fair	Good	Good	Fair	Good	Good	Good	Fair	Good	Fair	Fair	Good	Good	Good	Fair	Good	Poor	Good	Good	Good	Good	Good	Fair	Fair	Excellent	Good	Good	Poor	Good	Good	Good	Good	Good	Good
region_223	Good	Poor	Good	Fair	Fair	Good	Fair	Good	Fair	Fair	Fair	Good	Fair	Fair	Good	Good	Good	Good	Good	Good	Poor	Good	Fair	Good	Fair	Good	Fair	Fair	Poor	Fair	Good	Fair	Good	Good	Fair	Fair	Good	Good
region_224	Poor	Good	Excellent	Good	Good	Fair	Good	Good	Good	Good	Poor	Fair	Fair	Fair	Good	Fair	Good	Good	Good	Good	Fair	Fair	Good	Fair	Fair	Good	Poor	Fair	Fair	Good	Poor	Poor	Fair	Good	Fair	Good	Good	Good
region_225	Fair	Fair	Good	Good	Good	Fair	Good	Fair	Good	Fair	Fair	Good	Good	Good	Good	Fair	Fair	Good	Good	Fair	Fair	Good	Good	Good	Fair	Fair	Fair	Good	Good	Good	Fair	Fair	Good	Good	Good	Good	Good	Good
region_226	Fair	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Fair	Fair	Good	Good	Good	Poor	Poor	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Poor	Good	Fair	Good	Good	Good
region_227	Fair	Good	Good	Fair	Good	Good	Good	Good	Poor	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Fair	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Good	Good	Fair	Fair	Good	Good
region_228	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Fair	Good	Good	Good	Good	Good	Fair	Good	Good
region_229	Good	Good	Fair	Good	Fair	Good	Fair	Good	Good	Fair	Good	Fair	Good	Good	Good	Good	Fair	Good	Fair	Good	Good	Good	Fair	Good	Fair	Good	Fair	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Good	Good
region_230	Good	Fair	Excellent	Fair	Good	Good	Fair	Good	Fair	Fair	Poor	Fair	Good	Fair	Good	Good	Good	Good	Fair	Good	Fair	Good	Good	Fair	Fair	Good	Fair	Fair	Good	Good	Fair	Fair	Poor	Good	Fair	Good	Fair	Good
region_231	Good	Excellent	Good	Good	Fair	Good	Good	Good	Good	Good	Fair	Fair	Good	Excellent	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Fair	Good	Good	Fair	Good	Fair	Fair	Poor	Good
region_232	Fair	Good	Excellent	Fair	Good	Fair	Fair	Good	Fair	Fair	Good	Good	Good	Fair	Good	Fair	Fair	Good	Good	Good	Fair	Good	Good	Fair	Good	Good	Good	Fair	Good	Good	Good	Fair	Good	Good	Fair	Good	Fair	Good
region_233	Good	Fair	Good	Fair	Fair	Fair	Good	Fair	Good	Fair	Fair	Fair	Good	Fair	Good	Good	Good	Good	Good	Good	Good	Good	Fair	Good	Good	Good	Fair	Fair	Fair	Good	Good	Fair	Fair	Good	Fair	Good	Fair	Good
